name,address,website,phone_number,reviews_count,reviews_average,latitude,longitude
ScreamWorks,"Unit 261, Secret Location, Railway Arch, Paradise Row, London E2 9LE, United Kingdom",screamworks.co.uk,+44 20 7060 6061,292,4.9,54.9062497,-13.9744005
SENSAS London,"Arch 17 Miles St, London SW8 1RZ, United Kingdom",london.sensas.top,+44 7944 020710,704,4.8,54.9062497,-13.9744005
DNA VR,"Unit A, 77 Fulham Palace road, Assembly, London W6 8JA, United Kingdom",dnavr.co.uk,+44 20 8222 8673,270,4.8,54.9062497,-13.9744005
Outdoor Escape Room - The Lost Elephant,"43 Brushfield St, London E1 6AA, United Kingdom",lostelephant.co.uk,,8,4.9,54.9062497,-13.9744005
clueQuest - The Live Escape Game,"169-171 Caledonian Rd, London N1 0SL, United Kingdom",cluequest.co.uk,+44 7798 772382,2091,4.8,54.9062497,-13.9744005
Escape Hunt Oxford Street,"70 Oxford St, London W1D 1BN, United Kingdom",escapehunt.com,+44 20 7637 3222,2177,4.9,54.9062497,-13.9744005
Secret Studio,"Wentworth St, London E1 7SA, United Kingdom",escapeintime.co.uk,,226,4.8,54.9062497,-13.9744005
MISSION: BREAKOUT,"141-145 Kentish Town Rd, London NW1 8PB, United Kingdom",missionbreakout.london,+44 20 3652 8144,879,4.8,54.9062497,-13.9744005
"Escape Room ""The Butcher""","59 Wentworth St, London E1 7TD, United Kingdom",,,3,5.0,54.9062497,-13.9744005
DNA VR,"Unit A, 77 Fulham Palace road, Assembly, London W6 8JA, United Kingdom",dnavr.co.uk,+44 20 8222 8673,270,4.8,54.9062497,-13.9744005
Escape Game Events,,escapegameevents.co.uk,+44 330 133 1479,76,5.0,54.9062497,-13.9744005
Escape Game Events,,escapegameevents.co.uk,+44 330 133 1479,76,5.0,54.9062497,-13.9744005
Game Over London,"L1, Prince Charles Dr, London NW4 3RW, United Kingdom",london.escapegameover.co.uk,+44 20 8359 9925,84,5.0,54.9062497,-13.9744005
SENSAS London,"Arch 17 Miles St, London SW8 1RZ, United Kingdom",london.sensas.top,+44 7944 020710,704,4.8,54.9062497,-13.9744005
Enigma Quests Shoreditch,"2-12 Wilson St, London EC2M 7LS, United Kingdom",enigmaquests.london,+44 20 7377 9220,387,4.9,54.9062497,-13.9744005
MISSION: BREAKOUT,"141-145 Kentish Town Rd, London NW1 8PB, United Kingdom",missionbreakout.london,+44 20 3652 8144,879,4.8,54.9062497,-13.9744005
Secret Studio,"Wentworth St, London E1 7SA, United Kingdom",escapeintime.co.uk,,226,4.8,54.9062497,-13.9744005
"Escape Room ""Sweeney Todd""","51 Oxford St, London W1D 2EF, United Kingdom",,,,,54.9062497,-13.9744005
ScreamWorks,"Unit 261, Secret Location, Railway Arch, Paradise Row, London E2 9LE, United Kingdom",screamworks.co.uk,+44 20 7060 6061,292,4.9,54.9062497,-13.9744005
Clue Adventures,"Coach & Horses, 391 High Rd. Leyton, London E10 5NA, United Kingdom",clueadventures.com,+44 20 8556 6615,289,4.9,54.9062497,-13.9744005
clueQuest - The Live Escape Game,"169-171 Caledonian Rd, London N1 0SL, United Kingdom",cluequest.co.uk,+44 7798 772382,2091,4.8,54.9062497,-13.9744005
Outdoor Escape Room - The Lost Elephant,"43 Brushfield St, London E1 6AA, United Kingdom",lostelephant.co.uk,,8,4.9,54.9062497,-13.9744005
ScreamWorks,"Unit 261, Secret Location, Railway Arch, Paradise Row, London E2 9LE, United Kingdom",screamworks.co.uk,+44 20 7060 6061,292,4.9,54.9062497,-13.9744005
"Escape Room ""Cabin Fever""","41 Peckham High St, London SE15 5DL, United Kingdom",,,2,5.0,54.9062497,-13.9744005
SENSAS London,"Arch 17 Miles St, London SW8 1RZ, United Kingdom",london.sensas.top,+44 7944 020710,704,4.8,54.9062497,-13.9744005
ScreamWorks,"Unit 261, Secret Location, Railway Arch, Paradise Row, London E2 9LE, United Kingdom",screamworks.co.uk,+44 20 7060 6061,292,4.9,54.9062497,-13.9744005
Outdoor Escape Room - The Lost Elephant,"43 Brushfield St, London E1 6AA, United Kingdom",lostelephant.co.uk,,8,4.9,54.9062497,-13.9744005
Looking for puzzle ideas for your next escape room game?,"172 S Lambeth Rd, London SW8 1XP, United Kingdom",,+44 20 7582 8142,,,54.9062497,-13.9744005
Clue Adventures,"Coach & Horses, 391 High Rd. Leyton, London E10 5NA, United Kingdom",clueadventures.com,+44 20 8556 6615,289,4.9,54.9062497,-13.9744005
Outdoor Escape Room - The Lost Elephant,"43 Brushfield St, London E1 6AA, United Kingdom",lostelephant.co.uk,,8,4.9,54.9062497,-13.9744005
